"","V1","V2"
"855",51.064791,17.0306259
"856",51.11439,17.005886
"857",51.140122,16.957707
"858",51.1372242,17.0689131
"859",51.1508104,17.0677963
"860",51.112358,17.1176429
"861",51.145652,17.108988
"862",51.145644,17.1091449
"863",51.1041247,17.0998344
"864",51.119222,17.073731
"865",51.1204789,17.029031
"866",51.145353,17.107497
"867",51.061473,16.986263
"868",51.1456249,17.108815
"869",51.0991228,17.0546925
"870",51.1061296,17.1044146
"871",51.1454729,17.107796
"872",51.0732139,16.972667
"873",51.069012,16.999228
"874",51.105899,17.037059
"875",51.1495056,16.9413248
"876",51.1084899,17.1406919
"877",51.0726195,16.974744
"878",51.1711968,17.0145473
"879",51.112932,17.0564
"880",51.145559,17.1086439
"881",51.1323473,17.078065
"882",51.1472417,16.8982462
"883",51.1194748,17.0844454
"884",51.1019849,17.1156001
"885",51.1021306,17.0874022
"886",51.1403259,16.9914169
"887",51.1459966,17.1119163
"888",51.099969,17.036857
"889",51.0838709,17.021165
"890",51.1482816,17.043789
"891",51.1102161,17.0403192
"892",51.1131479,17.0177276
"893",51.0906746,17.0444192
"894",51.1337887,17.1058408
"895",51.1458492,17.1412791
"896",51.1220629,17.054279
"897",51.111433,17.035383
"898",51.0938761,16.9431497
"899",51.09035,17.004309
"900",51.1484703,16.8612735
"901",51.089208,17.0379839
"902",51.123044,17.034306
"903",51.1086735,16.9142661
"904",51.1177395,17.0074233
"905",51.1698498,16.8855026
"906",51.068061,17.003245
"907",51.106738,17.0190029
"908",51.0940269,17.0363979
"909",51.131678,16.955552
"910",51.140415,16.959685
"911",51.1030579,17.0283002
"912",51.104207,17.113623
"913",51.126059,16.9466
"914",51.1237717,16.9893211
"915",51.098968,17.013566
"916",51.1048412,17.0977847
"917",51.122121,16.9848879
"918",51.1117219,17.015342
"919",51.0933649,17.0604727
"920",51.0893211,17.0159984
"921",51.106795,16.968723
"922",51.0869996,17.0489276
"923",51.1121677,17.0311568
"924",51.076291,17.038349
"925",51.0976588,17.0557433
"926",51.109764,17.0261779
"927",51.10305,16.9419962
"928",51.0533538,17.0200321
"929",51.1682097,17.0107884
"930",51.0983859,17.152897
"931",51.086444,17.027335
"932",51.0869129,17.016873
"933",51.1143195,17.0619837
"934",51.120355,16.9285705
"935",51.063536,16.98246
"936",51.101191,17.045413
"937",51.1031081,16.9456402
"938",51.1128605,17.0877962
"939",51.1119986,17.0623873
"940",51.1063025,16.9880599
"941",51.0651591,17.0784562
"942",51.1595505,16.9003899
"943",51.0648122,16.9575652
"944",51.0979109,17.007587
"945",51.107568,16.967944
"946",51.1118866,16.9913515
"947",51.1169261,16.8467164
"948",51.1118866,16.9913515
"949",51.175045,17.013865
"950",51.098647,17.010255
"951",51.1591362,16.8555037
"952",51.1368423,16.8640276
"953",51.160213,17.1347609
"954",51.0906807,17.0628445
"955",51.0991539,17.0270867
"956",51.115476,17.040547
"957",51.1143343,16.9479818
"958",51.1023024,17.0925247
"959",51.107993,17.0254663
"960",51.107406,16.9620779
"961",51.092253,16.99782
"962",51.1246252,17.0506401
"963",51.0987224,17.0209378
"964",51.148474,17.0314169
"965",51.1738667,17.1128125
"966",51.1653609,17.0362987
